word,rank
motto,0.00154
stomp,0.00095
upset,0.00452
bluff,0.00318
cramp,0.00033
quart,0.00163
coyly,0.00004
youth,0.04192
rhyme,0.00125
buggy,0.00159
alien,0.00855
smear,0.00105
unfit,0.00066
patty,0.00191
cling,0.00077
glean,0.00019
label,0.03372
hunky,0.00023
khaki,0.00121
poker,0.1052
gruel,0.00007
twice,0.01626
twang,0.0002
shrug,0.00059
treat,0.01585
unlit,0.00008
waste,0.0335
merit,0.00526
woven,0.00346
octal,0.00045
needy,0.00133
clown,0.00251
widow,0.0031
irony,0.0018
ruder,0.00007
gauze,0.00045
chief,0.03725
onset,0.00315
prize,0.01321
fungi,0.00163
charm,0.0086
gully,0.00065
inter,0.01245
whoop,0.00027
taunt,0.00024
leery,0.00014
class,0.15577
theme,0.03034
lofty,0.00083
tibia,0.00051
booze,0.00096
alpha,0.02269
thyme,0.00082
eclat,0.0001
doubt,0.01656
parer,0.00003
chute,0.00068
stick,0.01826
trice,0.00029
alike,0.00507
sooth,0.00012
recap,0.00233
saint,0.03173
liege,0.00049
glory,0.01073
grate,0.00055
admit,0.00716
brisk,0.00063
soggy,0.00027
usurp,0.00014
scald,0.00008
scorn,0.00051
leave,0.05784
twine,0.00034
sting,0.00226
bough,0.00042
marsh,0.00414
sloth,0.00042
dandy,0.0009
vigor,0.0008
howdy,0.00059
enjoy,0.04087
valid,0.04654
ionic,0.00147
equal,0.02839
unset,0.00084
floor,0.04382
catch,0.01663
spade,0.00128
stein,0.00317
exist,0.02066
quirk,0.00036
denim,0.00386
grove,0.01238
spiel,0.00066
mummy,0.00153
fault,0.01069
foggy,0.00057
flout,0.00006
carry,0.02695
sneak,0.00186
libel,0.00071
waltz,0.0014
aptly,0.00049
piney,0.00032
inept,0.00037
aloud,0.00305
photo,0.18515
dream,0.02732
stale,0.00087
vomit,0.00063
ombre,0.0002
fanny,0.00124
unite,0.00235
snarl,0.00015
baker,0.01212
there,0.57157
glyph,0.00052
pooch,0.00028
hippy,0.0005
spell,0.00693
folly,0.00112
louse,0.00015
gulch,0.00053
vault,0.00441
godly,0.00059
threw,0.0036
fleet,0.00845
grave,0.00565
inane,0.00026
shock,0.01211
crave,0.00098
spite,0.00366
valve,0.00923
skimp,0.00009
claim,0.03268
rainy,0.00201
musty,0.00019
pique,0.00054
daddy,0.00751
quasi,0.00229
arise,0.0068
aging,0.00979
valet,0.00167
opium,0.00108
avert,0.00063
stuck,0.00743
recut,0.00012
mulch,0.00068
genre,0.01821
plume,0.00103
rifle,0.00411
count,0.03289
incur,0.00162
total,0.1815
wrest,0.00015
mocha,0.00076
deter,0.00154
study,0.1247
lover,0.00753
safer,0.00415
rivet,0.0005
funny,0.02795
smoke,0.01351
mound,0.00184
undue,0.00112
sedan,0.00389
pagan,0.0031
swine,0.00129
guile,0.00084
gusty,0.00017
equip,0.0033
tough,0.01105
canoe,0.00309
chaos,0.00708
covet,0.00018
human,0.1309
udder,0.00014
lunch,0.01696
blast,0.00765
stray,0.00147
manga,0.01041
melee,0.00084
lefty,0.0008
quick,0.06977
paste,0.00727
given,0.10234
octet,0.00186
risen,0.00214
groan,0.00039
leaky,0.00053
grind,0.00202
carve,0.00078
loose,0.01024
sadly,0.00318
spilt,0.00018
apple,0.04121
slack,0.00159
honey,0.00813
final,0.0796
sheen,0.00092
eerie,0.00063
minty,0.00018
slick,0.00193
derby,0.00515
wharf,0.00182
spelt,0.00035
coach,0.01998
erupt,0.00024
singe,0.00009
price,0.40893
spawn,0.00156
fairy,0.00525
jiffy,0.00039
filmy,0.00054
stack,0.00904
chose,0.00767
sleep,0.02404
ardor,0.00013
nanny,0.00247
niece,0.00094
woozy,0.00006
handy,0.00647
grace,0.01438
ditto,0.00113
stank,0.00008
cream,0.02111
usual,0.01389
diode,0.00155
valor,0.00097
angle,0.01387
ninja,0.00362
muddy,0.00152
chase,0.00894
reply,0.15063
prone,0.00245
spoil,0.00116
heart,0.07357
shade,0.0057
diner,0.00184
arson,0.00081
onion,0.0052
sleet,0.00025
dowel,0.00023
couch,0.00373
palsy,0.00115
bowel,0.00217
smile,0.01133
evoke,0.00066
creek,0.03111
lance,0.00449
eagle,0.01368
idiot,0.00378
siren,0.0011
built,0.05014
embed,0.00099
award,0.04863
dross,0.00013
annul,0.00012
goody,0.0006
frown,0.00061
patio,0.00622
laden,0.00486
humid,0.00084
elite,0.01033
lymph,0.00145
edify,0.00006
might,0.10043
reset,0.00817
visit,0.15249
gusto,0.00042
purse,0.00447
vapor,0.00305
crock,0.00075
write,0.10324
sunny,0.00774
loath,0.00012
chaff,0.00024
slide,0.01821
queer,0.00222
venom,0.00154
stamp,0.00796
sorry,0.02902
still,0.15524
acorn,0.00149
aping,0.00003
pushy,0.00021
tamer,0.00029
hater,0.00038
mania,0.00301
awoke,0.00056
brawn,0.00016
swift,0.00477
exile,0.00228
birch,0.00239
lucky,0.01146
freer,0.00044
risky,0.00197
ghost,0.01181
plier,0.00021
lunar,0.00294
winch,0.00083
snare,0.00107
nurse,0.01367
house,0.18856
borax,0.00014
nicer,0.00101
lurch,0.00017
exalt,0.00016
about,1
savvy,0.00256
toxin,0.00122
tunic,0.00059
pried,0.00007
inlay,0.00079
chump,0.00022
lanky,0.00012
cress,0.00023
eater,0.00139
elude,0.00018
cycle,0.02412
kitty,0.00523
boule,0.0001
moron,0.00083
tenet,0.00068
place,0.18013
lobby,0.00561
plush,0.00383
vigil,0.00096
index,0.19795
blink,0.00429
clung,0.0003
qualm,0.00003
croup,0.00012
clink,0.00013
juicy,0.00308
stage,0.04281
decay,0.00404
nerve,0.00535
flier,0.00044
shaft,0.00524
crook,0.00087
clean,0.03699
china,0.10147
ridge,0.01304
vowel,0.00084
gnome,0.01028
snuck,0.00022
icing,0.00104
spiny,0.0003
rigor,0.00042
snail,0.00129
flown,0.00143
rabid,0.0005
prose,0.00252
thank,0.05155
poppy,0.00147
budge,0.00034
fiber,0.01266
moldy,0.00017
dowdy,0.00013
kneel,0.00034
track,0.09161
caddy,0.00089
quell,0.00024
dumpy,0.00007
paler,0.00012
swore,0.00054
rebar,0.00023
scuba,0.00519
splat,0.00029
flyer,0.00466
horny,0.01008
mason,0.00771
doing,0.06588
ozone,0.00478
amply,0.00026
molar,0.00053
ovary,0.00082
beset,0.0003
queue,0.00603
cliff,0.00481
magic,0.0299
truce,0.00073
sport,0.0511
fritz,0.00188
edict,0.00031
twirl,0.00019
verse,0.00609
llama,0.00084
eaten,0.00278
range,0.1046
whisk,0.00048
hovel,0.00006
rehab,0.00527
macaw,0.00021
sigma,0.00967
spout,0.00074
verve,0.00099
sushi,0.00284
dying,0.00744
fetid,0.00006
brain,0.0274
buddy,0.01925
thump,0.00037
scion,0.00183
candy,0.01123
chord,0.00255
basin,0.0086
march,0.12903
crowd,0.0093
arbor,0.00412
gayly,0.00002
musky,0.00014
stain,0.00286
dally,0.00012
bless,0.00447
bravo,0.00226
stung,0.00033
title,0.16032
ruler,0.00213
kiosk,0.00147
blond,0.0042
ennui,0.00012
layer,0.02194
fluid,0.01055
tatty,0.00011
score,0.0565
cutie,0.00269
zebra,0.00237
barge,0.00108
matey,0.00009
bluer,0.00007
aider,0.00011
shook,0.00238
river,0.06427
privy,0.0006
betel,0.0001
frisk,0.00012
bongo,0.00063
begun,0.00704
azure,0.00085
weave,0.0016
genie,0.00133
sound,0.08153
glove,0.00384
braid,0.0008
scope,0.01903
wryly,0.00008
rover,0.00696
assay,0.00314
ocean,0.02603
bloom,0.00445
irate,0.00021
later,0.06917
woken,0.0003
silky,0.00143
wreck,0.002
dwelt,0.00042
slate,0.00311
smack,0.00118
solid,0.03051
amaze,0.00065
hazel,0.00232
wrist,0.00501
jolly,0.00206
globe,0.01186
flint,0.00263
rouse,0.00066
civil,0.04035
vista,0.01141
relax,0.00722
cover,0.07704
alive,0.0131
beech,0.0019
jetty,0.00062
bliss,0.00302
vocal,0.0074
often,0.07545
dolly,0.00185
eight,0.02655
joker,0.00122
since,0.17469
event,0.10232
ensue,0.00028
shunt,0.00049
diver,0.002
poser,0.00111
worst,0.01384
sweep,0.00295
alley,0.0037
creed,0.00277
anime,0.02554
leafy,0.00057
bosom,0.00058
dunce,0.00009
stare,0.00157
pudgy,0.00007
waive,0.00146
choir,0.0042
stood,0.00906
spoke,0.00944
outgo,0.00003
delay,0.01786
bilge,0.00034
ideal,0.02122
clasp,0.0011
seize,0.00156
hotly,0.0003
laugh,0.00801
sieve,0.00069
block,0.04051
meant,0.01454
grape,0.00297
noose,0.00031
hardy,0.00387
shied,0.00008
drawl,0.00009
daisy,0.00418
putty,0.00087
strut,0.00104
burnt,0.00263
tulip,0.00196
crick,0.0003
idyll,0.0001
vixen,0.00072
furor,0.00014
geeky,0.00081
cough,0.00281
naive,0.00151
shoal,0.00035
stork,0.00059
bathe,0.0004
aunty,0.0002
check,0.1993
prime,0.03123
brass,0.01166
outer,0.00917
furry,0.00154
razor,0.00281
elect,0.00469
evict,0.00017
imply,0.00366
demur,0.00004
quota,0.00265
haven,0.00862
cavil,0.00002
swear,0.00251
crump,0.00027
dough,0.00247
gavel,0.00029
wagon,0.00424
salon,0.00822
nudge,0.00077
harem,0.00036
pitch,0.00799
sworn,0.0019
pupil,0.0034
excel,0.01152
stony,0.00156
cabin,0.00656
unzip,0.00083
queen,0.02638
trout,0.00438
polyp,0.00016
earth,0.04977
storm,0.01813
until,0.09219
taper,0.00105
enter,0.09733
child,0.09761
adopt,0.00919
minor,0.02428
fatty,0.00437
husky,0.00131
brave,0.00426
filet,0.00045
slime,0.00071
glint,0.00022
tread,0.00136
steal,0.0051
regal,0.00182
guest,0.04507
every,0.15433
murky,0.00043
share,0.09725
spore,0.00048
hoist,0.00074
buxom,0.00019
inner,0.01431
otter,0.00136
dimly,0.00028
level,0.16512
sumac,0.00015
donut,0.00068
stilt,0.00015
arena,0.01139
sheet,0.03611
scrub,0.00192
fancy,0.00715
slimy,0.00028
pearl,0.01525
silly,0.00557
porch,0.00279
dingo,0.00034
sepia,0.0006
amble,0.00012
shady,0.00168
bread,0.01107
friar,0.00034
reign,0.00286
dairy,0.00716
quill,0.00064
cross,0.06051
brood,0.00085
tuber,0.0002
shear,0.00235
posit,0.00024
blank,0.0148
villa,0.01434
shank,0.00107
piggy,0.00086
freak,0.00319
which,0.66071
among,0.06801
fecal,0.00084
shell,0.01679
would,0.4668
algae,0.00169
large,0.13521
rabbi,0.00284
agony,0.00126
amuse,0.00045
bushy,0.00036
copse,0.00007
swoon,0.0002
knife,0.00921
pouch,0.00328
ascot,0.00072
plane,0.01451
crown,0.01357
urban,0.03105
snide,0.00019
relay,0.00756
abide,0.00303
viola,0.002
rajah,0.00013
straw,0.00323
dilly,0.00013
crash,0.01247
amass,0.00015
third,0.07784
trick,0.00669
tutor,0.00378
woody,0.00355
blurb,0.00063
grief,0.00371
disco,0.00576
where,0.29384
sassy,0.00135
beach,0.08612
sauna,0.00343
comic,0.01361
clued,0.0001
creep,0.00148
caste,0.00095
graze,0.0003
snuff,0.0007
frock,0.00015
gonad,0.00008
drunk,0.00857
prong,0.00086
lurid,0.00018
steel,0.04031
halve,0.0002
buyer,0.03426
vinyl,0.01387
utile,0.00023
smell,0.00541
adage,0.00034
worry,0.0108
tasty,0.00291
local,0.2207
trade,0.08974
finch,0.00148
ashen,0.00015
modal,0.0014
gaunt,0.00028
clove,0.00057
enact,0.00103
adorn,0.00038
roast,0.00261
speck,0.00062
sheik,0.00049
missy,0.00157
grunt,0.0005
snoop,0.00227
party,0.11796
touch,0.03002
mafia,0.00217
emcee,0.00024
array,0.0205
south,0.19448
vapid,0.00009
jelly,0.00301
skulk,0.00002
angst,0.001
tubal,0.00046
lower,0.05919
crest,0.00446
sweat,0.00371
cyber,0.00757
adore,0.00096
tardy,0.00025
swami,0.00073
notch,0.00269
groom,0.00215
roach,0.00246
hitch,0.00223
young,0.11114
align,0.00447
ready,0.05108
frond,0.00007
strap,0.0093
puree,0.00036
realm,0.00499
venue,0.01158
swarm,0.00094
offer,0.1029
seven,0.03605
dryer,0.00456
diary,0.01216
dryly,0.00008
drank,0.00145
acrid,0.00009
heady,0.00035
theta,0.00413
junto,0.0001
pixie,0.00085
quoth,0.00023
bonus,0.02268
shalt,0.00151
penne,0.00033
amend,0.00636
datum,0.00181
build,0.06293
piano,0.01583
shelf,0.0092
lodge,0.01756
suing,0.00067
rearm,0.00004
coral,0.00719
ramen,0.0003
worth,0.03919
psalm,0.00181
infer,0.0009
overt,0.00071
mayor,0.01225
ovoid,0.00009
glide,0.00141
usage,0.02074
poise,0.00028
randy,0.00661
chuck,0.00781
prank,0.00067
fishy,0.00054
tooth,0.00453
ether,0.00153
drove,0.00452
idler,0.00029
swath,0.00036
stint,0.0007
while,0.18439
begat,0.00016
apply,0.06223
slang,0.00148
tarot,0.0029
radar,0.01221
credo,0.00036
aware,0.02095
canon,0.03354
shift,0.01615
timer,0.0061
bylaw,0.00087
serum,0.00477
three,0.18212
steak,0.0036
iliac,0.00015
shirk,0.00016
blunt,0.00337
puppy,0.00543
penal,0.0012
joist,0.00016
bunny,0.00467
shape,0.02093
beget,0.0001
wheel,0.02066
adept,0.0013
stunt,0.00143
stole,0.00229
topaz,0.00191
chore,0.00046
fluke,0.00095
afoot,0.0003
bloat,0.00026
bully,0.00125
dense,0.00426
caper,0.0004
sneer,0.00017
boxer,0.00293
jumbo,0.00264
lunge,0.00016
space,0.09905
avail,0.00318
short,0.08702
slurp,0.0004
loyal,0.00367
flirt,0.00148
pizza,0.01204
conch,0.00031
tempo,0.00275
droop,0.00013
plate,0.01979
bible,0.03675
plunk,0.00009
afoul,0.00013
savoy,0.00102
steep,0.00277
agile,0.00147
stake,0.00413
dwell,0.00164
knave,0.00012
beard,0.00258
arose,0.00213
motif,0.00241
smash,0.0026
broil,0.00039
glare,0.00128
shove,0.00069
baggy,0.00034
mammy,0.00012
swamp,0.0021
along,0.06802
rugby,0.01059
wager,0.00111
quack,0.0004
squat,0.00075
snaky,0.00002
debit,0.00378
mange,0.0002
skate,0.00402
ninth,0.00358
joust,0.00013
tramp,0.00089
spurn,0.00006
medal,0.00632
micro,0.01811
rebel,0.00532
flank,0.00074
learn,0.14627
nadir,0.00029
maple,0.00791
comfy,0.00102
remit,0.00091
gruff,0.00019
ester,0.00129
least,0.09067
mogul,0.00061
fetch,0.00236
cause,0.05372
oaken,0.00006
aglow,0.00009
meaty,0.00032
gaffe,0.00011
shyly,0.00017
racer,0.00296
prowl,0.00028
thief,0.00242
stern,0.00379
poesy,0.00005
rocky,0.00848
tweet,0.00014
waist,0.00409
spire,0.00059
grope,0.00013
havoc,0.00138
patsy,0.00087
truly,0.01768
forty,0.00604
deity,0.00103
uncle,0.00663
swish,0.00077
giver,0.00057
preen,0.00006
bevel,0.00047
lemur,0.00023
draft,0.02856
slope,0.00527
annoy,0.00122
lingo,0.00086
bleak,0.00089
ditty,0.00023
curly,0.00182
cedar,0.00773
dirge,0.00031
grown,0.01136
horde,0.00247
drool,0.00044
shuck,0.00009
crypt,0.00155
cumin,0.0005
stock,0.14371
gravy,0.00117
locus,0.00245
wider,0.00667
breed,0.00629
quite,0.04791
chafe,0.0001
cache,0.01406
blimp,0.00021
deign,0.00008
fiend,0.00055
logic,0.01956
cheap,0.07911
elide,0.00002
rigid,0.00346
false,0.02729
renal,0.00366
pence,0.00082
rowdy,0.00042
shoot,0.01035
blaze,0.002
envoy,0.00128
posse,0.00085
brief,0.02657
never,0.12191
abort,0.00128
mouse,0.02744
mucky,0.00009
sulky,0.00013
fiery,0.0015
media,0.17643
trunk,0.00898
yeast,0.00496
clear,0.0721
skunk,0.00076
scalp,0.00111
bitty,0.00033
cider,0.00142
koala,0.00075
duvet,0.00128
segue,0.00019
creme,0.00141
super,0.05437
grill,0.00836
after,0.30402
owner,0.04743
ember,0.0004
reach,0.02909
nobly,0.0001
empty,0.02136
speed,0.06777
gipsy,0.00032
recur,0.00031
smock,0.00018
dread,0.00134
merge,0.00486
burst,0.0042
kappa,0.00228
amity,0.00044
shaky,0.00063
hover,0.00127
carol,0.00906
snort,0.00124
synod,0.00089
faint,0.00209
haunt,0.0008
flour,0.00421
chair,0.03323
detox,0.00187
shrew,0.00031
tense,0.00189
plied,0.0002
quark,0.00186
burly,0.0002
novel,0.01779
waxen,0.00003
stoic,0.00022
jerky,0.00062
blitz,0.00202
beefy,0.0003
lyric,0.00568
hussy,0.00007
towel,0.004
quilt,0.00423
below,0.11877
bingo,0.00778
wispy,0.0001
brash,0.00038
scone,0.00017
toast,0.00266
easel,0.00065
saucy,0.00039
value,0.14841
spice,0.0058
honor,0.01368
route,0.02563
sharp,0.0203
bawdy,0.00013
radii,0.00047
skull,0.00363
phony,0.00062
issue,0.10469
lager,0.00086
swell,0.0018
urine,0.004
gassy,0.00005
trial,0.0461
flora,0.00388
upper,0.03125
latch,0.00145
wight,0.00179
brick,0.0066
retry,0.00075
holly,0.00557
decal,0.00188
grass,0.01049
shack,0.00223
dogma,0.00083
mover,0.00188
defer,0.00098
sober,0.00136
optic,0.00372
crier,0.00031
vying,0.00028
nomad,0.00116
flute,0.00333
hippo,0.00093
shark,0.00481
drier,0.00055
obese,0.00136
bugle,0.00048
tawny,0.00049
chalk,0.00204
feast,0.0034
ruddy,0.00032
pedal,0.00307
scarf,0.00259
cruel,0.00341
bleat,0.00012
tidal,0.00185
slush,0.00032
semen,0.00127
windy,0.00176
dusty,0.00191
sally,0.00484
igloo,0.00032
nerdy,0.00035
jewel,0.00457
shone,0.00057
whale,0.00483
hymen,0.00028
abuse,0.02957
fugue,0.00033
elbow,0.00284
crumb,0.00055
pansy,0.00034
welsh,0.00599
syrup,0.00253
terse,0.00023
suave,0.00027
gamut,0.00045
swung,0.00071
drake,0.00356
freed,0.00219
afire,0.00009
shirt,0.03302
grout,0.00051
oddly,0.00113
tithe,0.00029
plaid,0.00137
dummy,0.00263
broom,0.00107
blind,0.01344
torch,0.00274
enemy,0.01148
again,0.12291
tying,0.00155
pesky,0.0005
alter,0.00638
gazer,0.00011
noble,0.01027
ethos,0.00077
bride,0.00705
extol,0.00012
decor,0.00986
hobby,0.00671
beast,0.01205
idiom,0.00045
utter,0.00171
these,0.44101
sixth,0.00809
alarm,0.01391
erase,0.00252
elegy,0.00024
spunk,0.00033
piper,0.00273
scaly,0.00022
scold,0.00014
hefty,0.00074
chick,0.00634
sooty,0.00018
canal,0.00675
whiny,0.00018
slash,0.00239
quake,0.0037
joint,0.03165
swept,0.00213
prude,0.00008
heavy,0.03071
wield,0.00034
femme,0.00206
lasso,0.00047
maize,0.00181
shale,0.00063
screw,0.00667
spree,0.00099
smoky,0.00148
whiff,0.0002
scent,0.00267
glade,0.00095
spent,0.02423
prism,0.00216
stoke,0.00208
riper,0.00006
orbit,0.00439
cocoa,0.0029
guilt,0.00295
humus,0.00015
shush,0.00005
table,0.13478
smirk,0.00033
wrong,0.04007
noisy,0.00303
alert,0.02647
shiny,0.0026
elate,0.00001
resin,0.00405
whole,0.06945
hunch,0.00027
pixel,0.00718
polar,0.00629
hotel,0.2429
sword,0.0072
cleat,0.0003
mango,0.00177
rumba,0.00033
puffy,0.00284
filly,0.00041
billy,0.01102
leash,0.00107
clout,0.00052
dance,0.04169
ovate,0.00012
facet,0.001
chili,0.00371
paint,0.01787
liner,0.00366
curio,0.00041
salty,0.00098
audio,0.10354
snake,0.0062
fable,0.00137
cloak,0.00118
navel,0.00123
spurt,0.00027
pesto,0.00043
balmy,0.00017
flash,0.05575
unwed,0.0001
early,0.08153
churn,0.00057
weedy,0.00013
stump,0.00111
lease,0.01401
witty,0.00143
wimpy,0.00021
spoof,0.00074
saner,0.00007
blend,0.00789
salsa,0.00345
thick,0.01144
warty,0.00009
manic,0.00118
blare,0.00004
squib,0.00009
spoon,0.00326
probe,0.00786
crepe,0.00063
knack,0.0005
force,0.06456
debut,0.00589
order,0.27441
haste,0.00086
teeth,0.00796
agent,0.04655
widen,0.00096
icily,0.00002
slice,0.00377
ingot,0.00019
clash,0.00288
juror,0.00068
blood,0.05001
abode,0.00102
throw,0.01284
unity,0.00706
pivot,0.00141
slept,0.00193
troop,0.00213
spare,0.00816
sewer,0.00408
parse,0.00302
morph,0.00062
cacti,0.00039
tacky,0.00042
spool,0.00122
demon,0.00375
moody,0.00308
annex,0.0069
begin,0.03704
fuzzy,0.00427
patch,0.03261
water,0.17541
lumpy,0.00024
admin,0.03084
omega,0.00839
limit,0.03121
tabby,0.00041
macho,0.00065
aisle,0.00156
skiff,0.00023
basis,0.04883
plank,0.00103
verge,0.00116
botch,0.00008
crawl,0.00233
lousy,0.00089
slain,0.00104
cubic,0.00471
raise,0.0172
wrack,0.00006
guide,0.17394
foist,0.00005
cameo,0.00124
under,0.25539
actor,0.01327
revue,0.00105
fraud,0.01254
harpy,0.00009
scoop,0.0043
climb,0.00464
refer,0.02209
olden,0.00026
clerk,0.00972
debar,0.00004
tally,0.00148
ethic,0.00109
cairn,0.00056
